Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
1986-03-13,0.059388644993305206,0.062040370296024175,0.05408641411806235,0.05408641411806235,1031788800
1986-03-14,0.06150956451892853,0.06257062102785976,0.05938867123180003,0.05938867123180003,308160000
1986-03-17,0.06257058680057526,0.06310080983231543,0.06150953087206151,0.06150953087206151,133171200
1986-03-18,0.060979314148426056,0.06310081635988242,0.06044909106183608,0.06257059327329245,67766400
1986-03-19,0.059918854385614395,0.06150952328461967,0.0593886314192793,0.06097930031828458,47894400
1986-03-20,0.05832818150520325,0.05991885029563154,0.05779795857506048,0.05991885029563154,58435200
1986-03-21,0.056737516075372696,0.05938863088311368,0.05567707015227631,0.058328184960017286,59990400
1986-03-24,0.05514685437083244,0.05673752346258168,0.05461663134024936,0.05673752346258168,65289600
1986-03-25,0.056207314133644104,0.056207314133644104,0.054616644654137694,0.05514686781397316,32083200
1986-03-26,0.05779797211289406,0.05832819516722927,0.05567707989555322,0.05620730294988843,22752000
1986-03-27,0.05885842815041542,0.05885842815041542,0.05779798186285791,0.05779798186285791,16848000
1986-03-31,0.05832818150520325,0.05885840443534601,0.05726773564491772,0.05885840443534601,12873600
1986-04-01,0.05779797211289406,0.05832819516722927,0.057797972112894065,0.05832819516722927,11088000
1986-04-02,0.05832818150520325,0.05938862736548878,0.05779795857506048,0.05779795857506048,27014400
1986-04-03,0.05885842815041542,0.06044909758175169,0.05885842815041542,0.05885842815041542,23040000
1986-04-04,0.05885842815041542,0.05938865129419418,0.05885842815041542,0.05885842815041542,26582400
1986-04-07,0.05779797211289406,0.05938864127589969,0.05673752600422364,0.058858418221564485,16560000
1986-04-08,0.05832818150520325,0.05938862736548878,0.05779795857506048,0.05779795857506048,10252800
1986-04-09,0.059388644993305206,0.05991886808082949,0.058328198818256634,0.058328198818256634,12153600
1986-04-10,0.059918854385614395,0.06044907735194949,0.05832818548660911,0.0593886314192793,13881600
1986-04-11,0.060979314148426056,0.06204037018670247,0.06044909106183608,0.06044909106183608,17222400
1986-04-14,0.06150956451892853,0.06204039770607764,0.0609793411971464,0.0609793411971464,12153600
1986-04-15,0.06150956451892853,0.06150956451892853,0.05938867123180003,0.06150956451892853,9302400
1986-04-16,0.06363105028867722,0.06416127346561283,0.06097932453879873,0.061509547715734345,31910400
1986-04-17,0.0641612708568573,0.0641612708568573,0.0636310477014802,0.0636310477014802,22003200
1986-04-18,0.062040362507104874,0.0641612545909325,0.06150952962112699,0.0641612545909325,21628800
1986-04-21,0.062040362507104874,0.06257058552806177,0.06044908357921318,0.06204036250710487,22924800
1986-04-22,0.060979314148426056,0.06204037018670247,0.060979314148426056,0.06204037018670247,15552000
1986-04-23,0.0612444132566452,0.06150952703157812,0.06044908103430905,0.06097930403294358,15609600
1986-04-24,0.0673425942659378,0.06840304033224794,0.06097930800304207,0.0612444172440038,62352000
1986-04-25,0.07158494740724564,0.07450117469540589,0.06787277843568343,0.06787277843568343,85795200
1986-04-28,0.07211519777774811,0.07264542071053039,0.07105414204726397,0.07158497484496582,28886400
1986-04-29,0.06999369710683823,0.07211519873092781,0.06946347416704773,0.07211519873092781,30326400
1986-04-30,0.06840304285287857,0.07052393506365302,0.06681237369479773,0.06999371201095941,30902400
1986-05-01,0.0673425942659378,0.06840304033224794,0.06628214819962769,0.06840304033224794,54345600
1986-05-02,0.0673425942659378,0.06840304033224794,0.06681237123278275,0.0673425942659378,20246400
1986-05-05,0.06681234389543533,0.06734256671164118,0.06681234389543533,0.06734256671164118,3254400
1986-05-06,0.0673425942659378,0.06840304033224794,0.0673425942659378,0.0673425942659378,9734400
1986-05-07,0.0673425942659378,0.06787281729909286,0.06628214819962769,0.0673425942659378,5155200
1986-05-08,0.06787283718585968,0.06787283718585968,0.06681239080883837,0.06734261399734902,3542400
1986-05-09,0.0673425942659378,0.06787281729909286,0.0673425942659378,0.06787281729909286,6076800
1986-05-12,0.06787283718585968,0.06946350675139164,0.06734261399734902,0.06734261399734902,10483200
1986-05-13,0.06840304285287857,0.06893326590557218,0.06787281980018495,0.06787281980018495,3830400
1986-05-14,0.06787283718585968,0.06840306037437033,0.06787283718585968,0.06840306037437033,9302400
1986-05-15,0.06787283718585968,0.06893328356288099,0.06787283718585968,0.06787283718585968,3801600
1986-05-16,0.06840304285287857,0.06999371201095941,0.06787281980018495,0.06787281980018495,11952000
1986-05-19,0.0673425942659378,0.06840304033224794,0.06681237123278275,0.06840304033224794,11001600
1986-05-20,0.06681234389543533,0.06734256671164118,0.06628212107922948,0.06734256671164118,61977600
1986-05-21,0.06575189530849457,0.06734256368563621,0.06575189530849457,0.06681234089325566,8092800
1986-05-22,0.06575189530849457,0.06628211810087511,0.06575189530849457,0.06575189530849457,4406400
1986-05-23,0.06575189530849457,0.06681234089325566,0.06575189530849457,0.06575189530849457,4089600
1986-05-27,0.06787283718585968,0.06787283718585968,0.06575194443181706,0.06575194443181706,13881600
