Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
1980-12-12,0.09838944673538208,0.09881720319863976,0.09838944673538208,0.09838944673538208,469033600
1980-12-15,0.09325644373893738,0.09368420036081967,0.09325644373893738,0.09368420036081967,175884800
1980-12-16,0.08641164004802704,0.08683939106686066,0.08641164004802704,0.08683939106686066,105728000
1980-12-17,0.08855032920837402,0.08897808556501866,0.08855032920837402,0.08855032920837402,86441600
1980-12-18,0.09111768752336502,0.09154543847956864,0.09111768752336502,0.09111768752336502,73449600
1980-12-19,0.09667845070362091,0.09710620724828234,0.09667845070362091,0.09667845070362091,48630400
1980-12-22,0.1013837605714798,0.10181228250150297,0.1013837605714798,0.1013837605714798,37363200
1980-12-23,0.10566207766532898,0.1060898343366984,0.10566207766532898,0.10566207766532898,46950400
1980-12-24,0.11122283339500427,0.11165058988665609,0.11122283339500427,0.11122283339500427,48003200
1980-12-26,0.12148969620466232,0.12191745273225568,0.12148969620466232,0.12148969620466232,55574400
1980-12-29,0.12320074439048767,0.12362850103438859,0.12320074439048767,0.12320074439048767,93161600
1980-12-30,0.12020649015903473,0.12063423544908701,0.12020649015903473,0.12063423544908701,68880000
1980-12-31,0.11678440868854523,0.11721216521620619,0.11678440868854523,0.11721216521620619,35750400
1981-01-02,0.118067666888237,0.11892317994384653,0.118067666888237,0.118067666888237,21660800
1981-01-05,0.11550116539001465,0.1159289105497281,0.11550116539001465,0.1159289105497281,35728000
1981-01-06,0.11036735028028488,0.11079510688769996,0.11036735028028488,0.11079510688769996,45158400
1981-01-07,0.10566207766532898,0.1060898343366984,0.10566207766532898,0.1060898343366984,55686400
1981-01-08,0.10352332890033722,0.10395107419725005,0.10352332890033722,0.10395107419725005,39827200
1981-01-09,0.10908406227827072,0.10951181876960311,0.10908406227827072,0.10908406227827072,21504000
1981-01-12,0.10822862386703491,0.1090841259258775,0.10822862386703491,0.1090841259258775,23699200
1981-01-13,0.10437878221273422,0.10480653873304098,0.10437878221273422,0.10480653873304098,23049600
1981-01-14,0.10480653494596481,0.10523429145081503,0.10480653494596481,0.10480653494596481,14291200
1981-01-15,0.10694529861211777,0.10780080013935692,0.10694529861211777,0.10694529861211777,14067200
1981-01-16,0.10608982294797897,0.1065175795734288,0.10608982294797897,0.1065175795734288,13395200
1981-01-19,0.11250611394643784,0.11293387052363427,0.11250611394643784,0.11250611394643784,41574400
1981-01-20,0.10908406227827072,0.10951181876960311,0.10908406227827072,0.10951181876960311,30083200
1981-01-21,0.11122283339500427,0.11207833495532364,0.11122283339500427,0.11122283339500427,15904000
1981-01-22,0.11250611394643784,0.1133616271008307,0.11250611394643784,0.11250611394643784,35548800
1981-01-23,0.11207842081785202,0.11293393445655893,0.11207842081785202,0.11250617763720548,11222400
